Season,Team,Value
1989,1610612758,0.7353585112205802
1979,1610612744,0.7353246753246754
1991,1610612738,0.7345314505776638
1992,1610612762,0.7341316362418355
1992,1610612750,0.7341077471874142
2008,1610612755,0.7340317985479275
1996,1610612753,0.733957219251337
2006,1610612758,0.7338308457711442
2016,1610612757,0.7331857653669334
1986,1610612756,0.7328667953667953
2012,1610612745,0.7325538911216661
1982,1610612747,0.732536231884058
1957,1610612765,0.7322796934865899
2010,1610612765,0.7315973500184026
1998,1610612758,0.7315928424757994
1982,1610612749,0.7313907512463469
2005,1610612764,0.7312455132806892
2007,1610612747,0.7302995828593098
2009,1610612754,0.7301980198019802
1986,1610612758,0.7296430004011232
1980,1610612764,0.7290239726027398
1995,1610612742,0.7287096216963206
1987,1610612737,0.7284126984126985
